iter=344, S=[4155, 28805], exptime=5478144.0
iter=345, S=[4155, 28805], exptime=5478144.0
iter=346, S=[4285, 28934], exptime=5768000.0
iter=347, S=[4483, 29072], exptime=5547573.0
iter=348, S=[4557, 29233], exptime=5670795.0
iter=349, S=[4532, 29185], exptime=5642930.0
iter=350, S=[4532, 29185], exptime=5642930.0
iter=351, S=[4530, 29271], exptime=5698173.0
iter=352, S=[4601, 29280], exptime=5948976.0
iter=353, S=[4558, 29443], exptime=5725889.0
iter=354, S=[4459, 29469], exptime=5508162.0
iter=355, S=[4459, 29469], exptime=5508162.0
iter=356, S=[4402, 29328], exptime=5699904.0
iter=357, S=[4402, 29328], exptime=5699904.0
iter=358, S=[4366, 29301], exptime=5666640.0
iter=359, S=[4457, 29369], exptime=5689723.0
iter=360, S=[4612, 29468], exptime=5513638.0
iter=361, S=[4539, 29367], exptime=5486880.0
iter=362, S=[4539, 29367], exptime=5486880.0
iter=363, S=[4679, 29432], exptime=5187618.0
iter=364, S=[4702, 29623], exptime=5525982.0
iter=365, S=[4744, 29739], exptime=5972550.0
iter=366, S=[4738, 29746], exptime=5724178.0
iter=367, S=[4677, 29910], exptime=5689860.0
iter=368, S=[4827, 30020], exptime=5914377.0
iter=369, S=[5026, 30011], exptime=5784602.0
iter=370, S=[5019, 30174], exptime=5500809.0
iter=371, S=[5076, 30324], exptime=5208564.0
iter=372, S=[5108, 30175], exptime=5557800.0
iter=373, S=[4922, 30080], exptime=5327733.0
iter=374, S=[5047, 30206], exptime=5250300.0
iter=375, S=[5047, 30206], exptime=5250300.0
iter=376, S=[4974, 30196], exptime=5393709.0
iter=377, S=[4929, 30327], exptime=5697540.0
iter=378, S=[4753, 30209], exptime=5711472.0
iter=379, S=[4625, 30399], exptime=5733768.0
iter=380, S=[4625, 30399], exptime=5733768.0
iter=381, S=[4716, 30508], exptime=5919056.0
iter=382, S=[4854, 30673], exptime=5494944.0
iter=383, S=[4901, 30684], exptime=5719847.0
iter=384, S=[4780, 30802], exptime=5658015.0
iter=385, S=[4957, 30967], exptime=5835448.0
iter=386, S=[4864, 30872], exptime=5568220.0
iter=387, S=[5056, 31059], exptime=5431872.0
iter=388, S=[5180, 30961], exptime=5236675.0
iter=389, S=[5152, 31081], exptime=5312727.0
iter=390, S=[5152, 31081], exptime=5312727.0
iter=391, S=[5265, 30973], exptime=5434950.0
iter=392, S=[5139, 30974], exptime=5218272.0
iter=393, S=[5139, 30974], exptime=5218272.0
iter=394, S=[5139, 30974], exptime=5218272.0
iter=395, S=[5142, 30918], exptime=5669741.0
iter=396, S=[5131, 30865], exptime=5589300.0
iter=397, S=[5057, 30859], exptime=5615376.0
iter=398, S=[5095, 31053], exptime=5710644.0
iter=399, S=[5095, 31053], exptime=5710644.0
iter=400, S=[4895, 31001], exptime=5711384.0
iter=401, S=[4701, 31023], exptime=5671568.0
iter=402, S=[4701, 31023], exptime=5671568.0
iter=403, S=[4740, 30829], exptime=5930184.0
iter=404, S=[4837, 30929], exptime=5797747.0
iter=405, S=[5010, 31082], exptime=5901390.0
iter=406, S=[5108, 31192], exptime=5522076.0
iter=407, S=[4945, 31230], exptime=5553900.0
iter=408, S=[4945, 31230], exptime=5553900.0
iter=409, S=[4945, 31230], exptime=5553900.0
iter=410, S=[4785, 31244], exptime=5751825.0
iter=411, S=[4974, 31325], exptime=6052872.0
iter=412, S=[4959, 31367], exptime=5698943.0
iter=413, S=[4814, 31227], exptime=6466028.0
iter=414, S=[4759, 31225], exptime=5946765.0
iter=415, S=[4893, 31070], exptime=5757440.0
iter=416, S=[4775, 30978], exptime=5933895.0
iter=417, S=[4634, 30992], exptime=5684727.0
iter=418, S=[4639, 30918], exptime=5557656.0
iter=419, S=[4612, 30914], exptime=5831348.0
iter=420, S=[4650, 30953], exptime=5648634.0
iter=421, S=[4782, 31127], exptime=5518465.0
iter=422, S=[4901, 31314], exptime=5494077.0
iter=423, S=[4729, 31373], exptime=5758185.0
iter=424, S=[4562, 31427], exptime=6029034.0
iter=425, S=[4632, 31433], exptime=5938185.0
iter=426, S=[4639, 31243], exptime=5950725.0
iter=427, S=[4644, 31355], exptime=6099940.0
iter=428, S=[4558, 31298], exptime=6227827.0
iter=429, S=[4742, 31231], exptime=6095520.0
iter=430, S=[4819, 31092], exptime=6043464.0
iter=431, S=[4899, 31010], exptime=6068959.0
iter=432, S=[5007, 31156], exptime=5745440.0
iter=433, S=[4928, 31092], exptime=5749917.0
iter=434, S=[4940, 31148], exptime=5619120.0
iter=435, S=[4994, 31326], exptime=5485376.0
iter=436, S=[4994, 31326], exptime=5485376.0
iter=437, S=[4994, 31326], exptime=5485376.0
iter=438, S=[4914, 31279], exptime=5665920.0
iter=439, S=[4737, 31301], exptime=5537529.0
iter=440, S=[4737, 31301], exptime=5537529.0
iter=441, S=[4770, 31376], exptime=5441738.0
iter=442, S=[4862, 31333], exptime=5674922.0
iter=443, S=[5029, 31350], exptime=5682615.0
iter=444, S=[4851, 31492], exptime=5493229.0
iter=445, S=[4961, 31498], exptime=5923909.0
iter=446, S=[4796, 31645], exptime=5651145.0
iter=447, S=[4796, 31645], exptime=5651145.0
iter=448, S=[4633, 31522], exptime=5939883.0
iter=449, S=[4665, 31547], exptime=5784800.0
iter=450, S=[4674, 31470], exptime=5974980.0
iter=451, S=[4760, 31288], exptime=5999904.0
iter=452, S=[4627, 31303], exptime=6020016.0
iter=453, S=[4604, 31463], exptime=5892520.0
iter=454, S=[4514, 31280], exptime=5806787.0
iter=455, S=[4599, 31251], exptime=5834422.0
iter=456, S=[4497, 31228], exptime=5951100.0
iter=457, S=[4623, 31278], exptime=5716000.0
iter=458, S=[4467, 31223], exptime=5636457.0
iter=459, S=[4606, 31319], exptime=5960230.0
iter=460, S=[4792, 31340], exptime=5855775.0
iter=461, S=[4978, 31464], exptime=5564328.0
iter=462, S=[5035, 31634], exptime=5757836.0
iter=463, S=[5165, 31473], exptime=5573688.0
iter=464, S=[5320, 31444], exptime=5752166.0
iter=465, S=[5403, 31463], exptime=5551364.0
iter=466, S=[5282, 31318], exptime=5529900.0
iter=467, S=[5385, 31431], exptime=5599800.0
iter=468, S=[5235, 31346], exptime=5522400.0
iter=469, S=[5212, 31327], exptime=5157921.0
